Stock1,Stock2,Lag,Corr,Freq%,AvgGap,WinRate,AvgProfit,FreqSame%,Score
AVGO,SAP,1,-0.2006687173001138,71.875,3.662747689299945,78.57142857142857,2.4977782729900104,31.91489361702128,19.47589810781954
PLTR,DASH,1,-0.0768765556639531,76.47058823529412,5.050620923491968,78.78787878787878,3.3630134944877668,36.17021276595745,19.06664837243615
GRMN,SNOW,1,-0.1310330360451964,78.125,3.826492087312334,79.41176470588235,1.12345866652502,36.17021276595745,19.04569880788291
PLTR,SPOT,1,-0.1914309171564255,64.70588235294117,5.316922906231604,75.55555555555556,3.081607745891799,31.91489361702128,18.32417248457191
6701.T,IFX.DE,1,-0.0872244107563315,67.56756756756756,3.686571446167141,74.35897435897436,2.1516047537440004,30.851063829787236,18.274622813632483
NET,EBAY,1,-0.2291963362958098,66.66666666666666,3.9981555531504136,79.48717948717949,2.5758787892988297,38.297872340425535,17.969753079818005
VEEV,NET,1,-0.089811979106559,80.43478260869566,3.6053786067506026,70.37037037037037,1.322050513546764,30.851063829787236,17.926399047152845
HOOD,1024.HK,1,0.0348788394759184,78.37837837837837,5.02300153199975,70.58823529411765,3.229243033773885,31.91489361702128,17.909174297480416
SNOW,SAP,1,-0.0478111908218929,70.58823529411765,3.2262280675083286,73.80952380952381,1.941080345777076,32.97872340425532,17.80791293625635
6857.T,2317.TW,1,-0.1905167094520915,65.71428571428571,5.090734225021297,75.0,3.5862235219235017,34.04255319148936,17.79762107168755
NVDA,INTU,1,-0.189612779470707,68.57142857142857,3.517085666483354,75.67567567567568,2.4526329217008045,35.1063829787234,17.737991558880708
PANW,KLAC,1,-0.0249767236308219,74.35897435897436,3.829533870091828,72.22222222222221,1.9604403682438245,32.97872340425532,17.654883809817495
TCEHY,2317.TW,1,-0.0820586262354384,71.42857142857143,3.237694300780002,68.75,1.387280971805248,27.659574468085108,17.603749577542775
HOOD,PLTR,1,-0.2585470617301822,70.27027027027027,6.903373057981545,74.28571428571429,4.157601886882775,36.17021276595745,17.547669523410125
CDNS,DELL,1,0.0011684194148827,64.86486486486487,3.757245218008728,75.0,1.6925448442229083,34.04255319148936,17.539079808792927
ASML,AVGO,1,-0.1900278760791323,75.0,3.8556559940021153,72.72727272727273,1.3107305512994862,34.04255319148936,17.48702372082319
DASH,UBER,1,-0.2074857321117063,64.70588235294117,4.031428113747795,74.4186046511628,2.196209260756219,34.04255319148936,17.375557919358133
